################################# 2 ######################################
#WSYS github/Ice-modelling/rundataharvester.py
#OPER Ragnar Ekker
#RTIM 20151012/1351
#DCHA RR  [mm/day]          on Blindern 18700 from eklima.met.no
#DCHA TAM [C]     daily avg on Blindern 18700 from eklima.met.no
#DCHA NNM [%/100] daily avg on Blindern 18700 from eklima.met.no
##########################################################################
20000917/0000	      -1.0	      11.7	      0.75
20000918/0000	       0.0	      11.2	      0.96
20000919/0000	      -1.0	      10.9	      0.75
20000920/0000	      -1.0	      10.0	      0.28
20000921/0000	      -1.0	      10.7	      0.46
20000922/0000	      -1.0	      10.6	      0.83
20000923/0000	       0.0	      11.9	      0.96
20000924/0000	      -1.0	      10.0	      0.21
20000925/0000	      -1.0	       9.3	      0.21
20000926/0000	      -1.0	       9.4	      0.28
20000927/0000	      -1.0	       9.0	      0.91
20000928/0000	      15.5	      12.3	       1.0
20000929/0000	       5.4	      14.4	       1.0
20000930/0000	       1.0	      15.9	      0.83
20001001/0000	      -1.0	      11.2	       1.0
20001002/0000	       0.1	      12.0	       1.0
20001003/0000	      12.6	      13.2	      0.62
20001004/0000	      -1.0	      12.5	      0.96
20001005/0000	       5.2	      11.9	      0.91
20001006/0000	       5.0	      12.4	       1.0
20001007/0000	       2.6	      12.4	      0.83
20001008/0000	       2.1	       9.4	       1.0
20001009/0000	       6.7	       8.4	      0.96
20001010/0000	      35.8	       8.8	       1.0
20001011/0000	      22.5	       9.7	      0.96
20001012/0000	      13.2	      10.2	      0.78
20001013/0000	       3.7	       9.6	       1.0
20001014/0000	       1.5	      10.5	       1.0
20001015/0000	       0.1	      11.4	      0.96
20001016/0000	       0.0	      10.9	       1.0
20001017/0000	       0.2	      12.8	      0.96
20001018/0000	       0.2	      10.6	      0.75
20001019/0000	       0.0	       9.6	      0.91
20001020/0000	       4.6	       8.6	      0.83
20001021/0000	       4.8	      10.8	       1.0
20001022/0000	       8.4	       9.2	      0.21
20001023/0000	       0.2	       8.0	       1.0
20001024/0000	       7.2	       8.9	      0.62
20001025/0000	       2.1	       6.4	      0.78
20001026/0000	       1.9	       5.5	       1.0
20001027/0000	       4.6	       3.5	      0.91
20001028/0000	       0.1	       2.9	      0.96
20001029/0000	       7.5	       6.5	      0.91
20001030/0000	      10.4	       7.0	      0.96
20001031/0000	      30.0	       9.4	      0.75
20001101/0000	      -1.0	       6.5	      0.78
20001102/0000	      17.5	       5.9	      0.87
20001103/0000	       2.7	       7.7	      0.83
20001104/0000	      11.4	       7.0	      0.96
20001105/0000	       7.6	       5.9	       1.0
20001106/0000	       2.0	       4.9	      0.91
20001107/0000	       0.0	       5.9	       1.0
20001108/0000	      34.5	       8.0	       1.0
20001109/0000	      12.5	       7.9	       1.0
20001110/0000	       7.4	       6.5	       1.0
20001111/0000	      14.5	       6.8	      0.87
20001112/0000	       7.4	       7.1	       1.0
20001113/0000	      16.7	       6.5	      0.96
20001114/0000	       7.1	       6.1	      0.96
20001115/0000	       0.1	       5.4	      0.96
20001116/0000	       7.8	       5.0	      0.91
20001117/0000	       0.4	       5.3	       1.0
20001118/0000	      20.2	       2.9	       1.0
20001119/0000	      17.2	       5.9	      0.96
20001120/0000	      12.8	       5.5	       1.0
20001121/0000	      11.3	       5.5	      0.96
20001122/0000	      27.6	       2.8	       1.0
20001123/0000	       6.0	       6.0	      0.91
20001124/0000	       6.7	       6.3	       1.0
20001125/0000	      10.6	       5.0	      0.91
20001126/0000	       0.1	       4.5	       1.0
20001127/0000	       2.3	       6.1	       1.0
20001128/0000	       8.4	       4.5	      0.96
20001129/0000	       3.2	       4.7	       1.0
20001130/0000	       3.1	       6.5	      0.83
20001201/0000	       7.8	       2.8	      0.91
20001202/0000	      10.2	       7.1	      0.91
20001203/0000	       3.0	       7.5	      0.83
20001204/0000	      -1.0	       5.1	      0.96
20001205/0000	       1.2	       8.4	       1.0
20001206/0000	       0.0	       8.1	       1.0
20001207/0000	       3.7	       6.4	       1.0
20001208/0000	      10.0	       2.4	      0.87
20001209/0000	       6.0	       5.8	       1.0
20001210/0000	       5.6	       7.2	       1.0
20001211/0000	       2.2	       5.6	      0.96
20001212/0000	       2.6	       2.4	      0.83
20001213/0000	       8.0	       7.8	      0.96
20001214/0000	       9.4	       5.0	      0.87
20001215/0000	       2.6	       4.7	      0.91
20001216/0000	       0.0	       4.0	      0.87
20001217/0000	       0.1	       1.3	      0.75
20001218/0000	      -1.0	       0.4	      0.83
20001219/0000	       0.0	      -0.2	      0.78
20001220/0000	      -1.0	      -3.7	      0.71
20001221/0000	      -1.0	      -0.8	      0.91
20001222/0000	      -1.0	      -3.3	      0.78
20001223/0000	      -1.0	      -2.8	      0.66
20001224/0000	       0.0	      -2.0	      0.08
20001225/0000	      -1.0	      -4.3	      0.03
20001226/0000	      -1.0	      -5.4	      0.91
20001227/0000	       1.3	      -3.2	      0.87
20001228/0000	       0.7	      -3.5	      0.83
20001229/0000	       9.0	      -4.3	       1.0
20001230/0000	       9.6	      -7.3	      0.46
20001231/0000	       0.0	     -13.3	      0.16
20010101/0000	      -1.0	      -8.6	       1.0
20010102/0000	       6.7	      -1.6	       1.0
20010103/0000	       2.2	       1.4	       1.0
20010104/0000	       8.8	       1.1	       1.0
20010105/0000	       2.2	       1.4	       1.0
20010106/0000	       8.5	       2.1	       1.0
20010107/0000	       8.4	       1.5	       1.0
20010108/0000	       1.9	       0.8	      0.83
20010109/0000	       0.4	      -1.1	      0.66
20010110/0000	      -1.0	      -3.8	      0.46
20010111/0000	      -1.0	      -2.5	      0.71
20010112/0000	       0.1	      -2.2	      0.83
20010113/0000	      -1.0	      -4.6	      0.78
20010114/0000	      -1.0	      -8.3	      0.66
20010115/0000	      -1.0	     -10.3	      0.21
20010116/0000	      -1.0	     -11.6	      0.66
20010117/0000	      -1.0	     -12.9	      0.12
20010118/0000	      -1.0	      -6.5	      0.96
20010119/0000	       0.3	      -7.9	      0.46
20010120/0000	      -1.0	      -6.1	      0.91
20010121/0000	       0.0	      -2.9	       1.0
20010122/0000	       0.9	      -1.7	       1.0
20010123/0000	       2.9	      -2.0	       1.0
20010124/0000	       5.5	       0.7	       1.0
20010125/0000	      19.4	       3.3	       1.0
20010126/0000	       4.4	       2.7	       1.0
20010127/0000	       2.0	       1.7	       1.0
20010128/0000	       3.2	       1.1	       1.0
20010129/0000	      -1.0	      -1.5	       0.5
20010130/0000	      -1.0	      -4.8	      0.91
20010131/0000	      -1.0	      -5.0	      0.58
20010201/0000	      -1.0	      -8.6	      0.37
20010202/0000	      -1.0	     -11.1	      0.75
20010203/0000	       0.1	     -15.0	      0.08
20010204/0000	      -1.0	     -16.4	      0.16
20010205/0000	      -1.0	     -18.1	      0.12
20010206/0000	      -1.0	     -12.2	       1.0
20010207/0000	       5.5	      -5.0	       1.0
20010208/0000	       4.0	      -1.3	      0.66
20010209/0000	       0.0	      -6.5	       0.0
20010210/0000	      -1.0	      -8.2	      0.41
20010211/0000	       3.5	      -0.7	       1.0
20010212/0000	      10.3	       3.0	      0.53
20010213/0000	      -1.0	       0.9	      0.91
20010214/0000	      -1.0	       4.1	      0.91
20010215/0000	      -1.0	       0.4	      0.71
20010216/0000	      -1.0	       0.5	      0.16
20010217/0000	      -1.0	      -1.0	      0.62
20010218/0000	      -1.0	       2.4	       0.5
20010219/0000	      -1.0	      -0.3	      0.58
20010220/0000	       0.0	       0.2	      0.71
20010221/0000	      -1.0	       2.4	      0.12
20010222/0000	      -1.0	      -1.6	      0.46
20010223/0000	      -1.0	      -8.3	      0.78
20010224/0000	       0.0	      -7.9	      0.83
20010225/0000	       0.1	      -9.2	      0.91
20010226/0000	       1.3	      -9.7	      0.87
20010227/0000	       1.2	     -10.2	      0.62
20010228/0000	       0.2	     -10.7	      0.91
20010301/0000	       0.9	      -9.7	      0.83
20010302/0000	       0.0	      -9.0	      0.46
20010303/0000	       0.1	      -8.2	      0.53
20010304/0000	       0.0	      -3.2	      0.83
20010305/0000	      -1.0	      -2.6	      0.78
20010306/0000	      -1.0	       4.3	      0.58
20010307/0000	      -1.0	      -0.7	      0.78
20010308/0000	      -1.0	       1.3	       1.0
20010309/0000	       0.0	       0.9	       1.0
20010310/0000	       7.4	       2.7	       1.0
20010311/0000	       0.9	       2.5	       1.0
20010312/0000	       4.0	       2.9	       1.0
20010313/0000	      17.0	       2.4	      0.96
20010314/0000	       0.1	       2.4	       1.0
20010315/0000	       0.6	       1.1	       1.0
20010316/0000	       1.9	      -0.2	      0.96
20010317/0000	       5.2	      -3.5	      0.33
20010318/0000	      -1.0	      -5.9	      0.21
20010319/0000	      -1.0	      -6.6	      0.46
20010320/0000	      -1.0	      -4.5	      0.03
