Vind	FGX	Kraftigste vindkast	m/s	1982-01-01 00:00:00	None	Døgnverdi: Høyeste verdi av kraftigste vindkast (FG) i sekstimersperiodene før kl 0, 6, 12 og 18 utc. Månedsverdi: Høyeste verdi av døgn-FGX
Vind	DD06	Vindretning kl. 06 UTC	grader	1937-11-01 00:00:00	None	Retning vinden kommer fra ved observasjon kl 06 utc
Temperatur	VEKST	Vekstgradtall	graddager	1936-12-01 00:00:00	None	Tall som avledes av døgnmiddeltemperaturen (antall grader > 5 ºC)
Lufttrykk	PRN	Laveste lufttrykk, havnivå	hPa	1957-01-01 00:00:00	None	Lufttrykk redusert til havets nivå (QFF), laveste verdi for perioden
Nedbør	SLAG	Nedbørslag	kode	1951-01-01 00:00:00	2010-01-31 00:00:00	Døgnverdi: Sammendrag av nedbørtyper i døgnet: 02 (alle typer snø), 03 (alle typer regn), 30 (kombinasjon av 02 og 03), 31 (dugg, rim, tåke)
Lufttrykk	PRX	Høyeste lufttrykk, havnivå	hPa	1957-01-01 00:00:00	None	Lufttrykk redusert til havets nivå (QFF), høyeste verdi for perioden
Vind	FGN	Svakeste høye vindkast	m/s	1982-01-01 00:00:00	None	Døgnverdi: Laveste verdi av kraftigste vindkast (FG) i sekstimersperiodene før kl 0, 6, 12 og 18 utc. Månedsverdi: Laveste verdi av døgn-FGN
Lufttrykk	POX	Høyeste lufttrykk, stasjonsnivå	hPa	1951-01-01 00:00:00	None	Lufttrykk på stasjonen (QFE), høyeste verdi for perioden
Fuktighet	UUM	Midlere relativ luftfuktighet	prosent	1951-01-01 00:00:00	None	Midlere relativ luftfuktighet for en periode (aritmetisk middel av målte verdier)
Fuktighet	UUN	Minimum relativ luftfuktighet	prosent	1951-01-01 00:00:00	None	Laveste observerte relative luftfuktighet i en periode
Fuktighet	UUX	Maksimum relativ luftfuktighet	prosent	1951-01-01 00:00:00	None	Høyeste observerte relative luftfuktighet i en periode
Nedbør	RRTA	Nedbør i temperaturdøgnet	mm	1937-03-01 00:00:00	None	Døgn- eller månedssum for nedbør (temperaturdøgn 19-19)
Vind	FGM	Middel av høye vindkastverdier	m/s	1982-01-01 00:00:00	None	Døgnverdi: Aritmetisk middel av kraftigste vindkast (FG) i sekstimersperiodene før kl 0, 6, 12 og 18 utc. Månedsverdi: Aritmetisk middel av døgn-FGM
Skyer	NNM	Midlere skydekke	åttedeler	1951-01-01 00:00:00	None	Aritmetisk middel av NN-verdier (skydekke) fra observasjoner kl 06, 12 og 18 utc
Skyer	NNX	Største skydekke	åttedeler	1951-01-01 00:00:00	None	Høyeste NN-verdi (skydekke) fra observasjoner kl 06, 12 og 18 utc
Lufttrykk	VP	Vanndamptrykk	hPa	1951-01-01 00:00:00	None	Trykk utledet av relativ fuktighet og aktuell temperatur
Snø	SA	Snødybde	cm	1937-11-01 00:00:00	None	Snødybde, totalt fra bakken, måles normalt på morgenen. Kode = -1 betyr snøbart, presenteres som ".", -3 = "umulig å måle"
