calculated_draft;calculated_snow;date;draft_difference;lake_areas;lake_circumference;lake_elevation;lake_name;lake_type;observed_draft;observed_snow;regobs_elevation;regobs_id;regobs_name;snow_difference;utm_e;utm_n;utm_zone
0.0;0.0;2019-06-05;0.0;45961.33279418945;1054.359172011079;668.0;Storevatnet;Innsjø;0.0;0.0;667;16227;Storevatnet 668 moh;0.0;47248;6922864;33
0.03690660269865044;0.0;2018-11-21;-0.04309339730134956;145828.58264923096;1862.8691124492623;653.0;Tverråtjødnen;InnsjøRegulert;0.08;0.0;653;8379;Tverråtjødnen 650 moh;0.0;16980;6557438;33
0.18517431946219898;0.0;2018-11-28;-0.014825680537801034;145828.58264923096;1862.8691124492623;653.0;Tverråtjødnen;InnsjøRegulert;0.2;0.0;653;8379;Tverråtjødnen 650 moh;0.0;16980;6557438;33
0.28349597145256905;0.09790905574221792;2018-12-17;-0.021504028547430942;145828.58264923096;1862.8691124492623;653.0;Tverråtjødnen;InnsjøRegulert;0.305;0.06;653;8379;Tverråtjødnen 650 moh;0.03790905574221792;16980;6557438;33
0.47502844423864066;0.19566382527574588;2019-02-15;-0.14497155576135934;145828.58264923096;1862.8691124492623;653.0;Tverråtjødnen;InnsjøRegulert;0.62;0.09;653;8379;Tverråtjødnen 650 moh;0.10566382527574589;16980;6557438;33
0.17803164043488354;0.0;2019-04-29;0.17803164043488354;145828.58264923096;1862.8691124492623;653.0;Tverråtjødnen;InnsjøRegulert;0.0;0.0;653;8379;Tverråtjødnen 650 moh;0.0;16980;6557438;33
0.097751640434883;0.0;2019-05-02;0.097751640434883;145828.58264923096;1862.8691124492623;653.0;Tverråtjødnen;InnsjøRegulert;0.0;0.0;653;8379;Tverråtjødnen 650 moh;0.0;16980;6557438;33
0.09730699836301734;0.0533988032270892;2019-05-08;0.09730699836301734;145828.58264923096;1862.8691124492623;653.0;Tverråtjødnen;InnsjøRegulert;0.0;0.0;653;8379;Tverråtjødnen 650 moh;0.0533988032270892;16980;6557438;33
0.09359908214106594;0.0;2019-05-11;0.09359908214106594;145828.58264923096;1862.8691124492623;653.0;Tverråtjødnen;InnsjøRegulert;0.0;0.0;653;8379;Tverråtjødnen 650 moh;0.0;16980;6557438;33
0.08081908214106572;0.0;2019-05-14;0.08081908214106572;145828.58264923096;1862.8691124492623;653.0;Tverråtjødnen;InnsjøRegulert;0.0;0.0;653;8379;Tverråtjødnen 650 moh;0.0;16980;6557438;33
0.06262574880773225;0.0;2019-05-15;0.06262574880773225;145828.58264923096;1862.8691124492623;653.0;Tverråtjødnen;InnsjøRegulert;0.0;0.0;653;8379;Tverråtjødnen 650 moh;0.0;16980;6557438;33
0.16967075729885522;0.0;2019-04-07;0.16967075729885522;48220.403076171875;1305.254492555853;84.0;;InnsjøRegulert;0.0;0.0;83;8359;Glittredammen 83 moh;0.0;248563;6652364;33
0.03953415292353802;0.0;2018-10-29;-0.03646584707646198;49223.43630981445;1043.5659430386115;1023.0;Knutstjørn;Innsjø;0.076;0.0;1023;16074;Knutstjørn 1023 moh;0.0;54634;6569599;33
0.3444350625812921;0.0;2019-05-31;0.3444350625812921;49223.43630981445;1043.5659430386115;1023.0;Knutstjørn;Innsjø;0.0;0.0;1023;16074;Knutstjørn 1023 moh;0.0;54634;6569599;33
0.06239222788605667;0.0;2018-10-29;0.007392227886056667;69387.15133666992;1567.9860978717784;817.0;Sandvatn;Innsjø;0.055;0.001;0;7863;Sandvatn 817 moh;-0.001;61881;6570583;33
0.4409699026152722;0.0;2019-05-01;0.4409699026152722;69387.15133666992;1567.9860978717784;817.0;Sandvatn;Innsjø;0.0;0.0;0;7863;Sandvatn 817 moh;0.0;61881;6570583;33
0.4060260073037312;0.02365235042872898;2019-05-11;0.4060260073037312;69387.15133666992;1567.9860978717784;817.0;Sandvatn;Innsjø;0.0;0.0;0;7863;Sandvatn 817 moh;0.02365235042872898;61881;6570583;33
0.4062335713888704;0.002154722960330192;2019-05-14;0.4062335713888704;69387.15133666992;1567.9860978717784;817.0;Sandvatn;Innsjø;0.0;0.0;0;7863;Sandvatn 817 moh;0.002154722960330192;61881;6570583;33
0.17584153484451037;0.0;2019-05-20;0.17584153484451037;69387.15133666992;1567.9860978717784;817.0;Sandvatn;Innsjø;0.0;0.0;0;7863;Sandvatn 817 moh;0.0;61881;6570583;33
0.0664544527736129;0.0;2018-10-29;-0.0035455472263871135;508600.6384277344;5071.3915020228205;285.0;Nigardsbrevatnet;Innsjø;0.07;0.0;285;7903;Nigardsvatnet 285 moh;0.0;89360;6862228;33
0.055005606370447255;0.0;2018-11-05;-0.019994393629552742;508600.6384277344;5071.3915020228205;285.0;Nigardsbrevatnet;Innsjø;0.075;0.0;285;7903;Nigardsvatnet 285 moh;0.0;89360;6862228;33
0.083542188994027;0.0;2018-11-22;-0.026457811005972998;508600.6384277344;5071.3915020228205;285.0;Nigardsbrevatnet;Innsjø;0.11;0.0;285;7903;Nigardsvatnet 285 moh;0.0;89360;6862228;33
0.2477301914932408;0.044729801133002;2018-11-29;-0.02226980850675922;508600.6384277344;5071.3915020228205;285.0;Nigardsbrevatnet;Innsjø;0.27;0.01;285;7903;Nigardsvatnet 285 moh;0.034729801133001996;89360;6862228;33
0.26340580323704205;0.1694642172387991;2018-12-23;-0.026594196762957933;508600.6384277344;5071.3915020228205;285.0;Nigardsbrevatnet;Innsjø;0.29;0.2;285;7903;Nigardsvatnet 285 moh;-0.03053578276120092;89360;6862228;33
0.1426794642200671;0.0;2018-11-26;0.0926794642200671;151041.072265625;5478.200697680854;253.0;Åmotdammen;InnsjøRegulert;0.05;0.0;247;8372;Åmotdammen 247 moh;0.0;277950;6649097;33
