__metadata; Observer; Registration; Trip; ObsLocationID; LocationName; UTMZone; UTMEast; UTMNorth; UTMSourceTID; AreaUsageTID; ForecastRegionTID; HeigthMax; HeigthMin; Area; HeigthTreeLine; DtRegTime; AreaSize; SlopeAngel; SlopeDirection; MunicipalNo; LocationDescription; Comment; UTMUncertainty; 
{'id': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(7158)', 'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(7158)', 'type': 'RegObsModel.ObsLocation'}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(7158)/Observer'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(7158)/Registration'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(7158)/Trip'}}; 7158; Jonsvatnet v/Grøtøya 148 moh; 33; 278782; 7034460; 30; 0; 716; 149; None; False; None; /Date(1366504245370)/; None; None; None; 1601; None; None; 0; 
{'id': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16207)', 'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16207)', 'type': 'RegObsModel.ObsLocation'}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16207)/Observer'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16207)/Registration'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16207)/Trip'}}; 16207; Midtre Syndin 936 moh; 33; 163102; 6786427; 30; 0; 705; 937; None; False; None; /Date(1414578480000)/; None; None; None; 0543; None; None; None; 
{'id': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16167)', 'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16167)', 'type': 'RegObsModel.ObsLocation'}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16167)/Observer'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16167)/Registration'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16167)/Trip'}}; 16167; Høvringvatni 1121 moh; 33; 215032; 6873195; 30; 0; 705; 1130; None; False; None; /Date(1414057214557)/; None; None; None; 0517; None; None; None; 
{'id': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16169)', 'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16169)', 'type': 'RegObsModel.ObsLocation'}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16169)/Observer'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16169)/Registration'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16169)/Trip'}}; 16169; Lomtjørna 324 moh; 33; 538720; 7514920; 30; 0; 718; 322; None; False; None; /Date(1414073106537)/; None; None; None; 1845; None; None; None; 
{'id': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(1622)', 'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(1622)', 'type': 'RegObsModel.ObsLocation'}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(1622)/Observer'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(1622)/Registration'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(1622)/Trip'}}; 1622; Lutsivatnet 27 moh; 33; -27143; 6562537; 30; 0; 711; 27; None; False; None; /Date(1355479852467)/; None; None; None; 1102; Sandnes; None; None; 
{'id': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(3596)', 'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(3596)', 'type': 'RegObsModel.ObsLocation'}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(3596)/Observer'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(3596)/Registration'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(3596)/Trip'}}; 3596; Skoddebergvatnet - nord 101 moh; 33; 591947; 7613206; 30; 0; 719; 101; None; False; None; /Date(1359998474707)/; None; None; None; 1913; None; None; None; 
{'id': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16234)', 'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16234)', 'type': 'RegObsModel.ObsLocation'}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16234)/Observer'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16234)/Registration'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16234)/Trip'}}; 16234; Balvatn 597 moh; 33; 540929; 7428569; 30; 0; 718; 597; None; False; None; /Date(1414578480000)/; None; None; None; 1840; None; None; None; 
{'id': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(2227)', 'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(2227)', 'type': 'RegObsModel.ObsLocation'}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(2227)/Observer'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(2227)/Registration'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(2227)/Trip'}}; 2227; Semsvannet v/Lo 145 moh; 33; 243655; 6644286; 40; 0; 702; 145; None; False; None; /Date(1357391659673)/; None; None; None; 0220; None; Feilmargin: 16m; None; 
{'id': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16213)', 'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16213)', 'type': 'RegObsModel.ObsLocation'}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16213)/Observer'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16213)/Registration'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(16213)/Trip'}}; 16213; Norsjø v/Ulefoss 15 moh; 33; 174017; 6585869; 30; 0; 708; 16; None; False; None; /Date(1414578480000)/; None; None; None; 0819; None; None; None; 
{'id': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(2576)', 'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(2576)', 'type': 'RegObsModel.ObsLocation'}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(2576)/Observer'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(2576)/Registration'}}; {'__deferred': {'uri': 'http://api.nve.no/hydrology/RegObs/v3.1.0/OData.svc/ObsLocation(2576)/Trip'}}; 2576; Tengesdalsvatnet 166 moh; 33; -19305; 6560177; 30; 0; 711; 163; None; False; None; /Date(1358183538560)/; None; None; None; 1102; None; None; None; 
