Temperatur	X4TG	Gresstemperatur
Temperatur	X2TGM	Midlere gresstemperatur - sensor 2
Temperatur	X4TGM	Midlere gresstemperatur
Temperatur	X2TGN	Minimum gresstemperatur - sensor 2
Temperatur	X3TGX	Maksimum gresstemperatur - sensor 3
Temperatur	X4TGX	Maksimum gresstemperatur
Temperatur	TAMN	Laveste døgnmiddeltemperatur
Temperatur	X2TW	Sjøtemperatur i ºC nær overflaten
Temperatur	TAMX	Månedens høyeste middeltemperatur
Temperatur	TDM	Duggpunkttemperatur  i ºC, timemiddel
Temperatur	TDN	Duggpunkttemperatur  i ºC, minimum minuttverdi i timen
Temperatur	TGM	Temperatur målt 10 cm over bakkenivå, middel av siste times 60 minuttverdier
Temperatur	TGX	Temperatur målt 10 cm over bakkenivå, høyeste verdi siste time
Temperatur	TNT	Minimumstermometerets topp (kontrollverdi)
Temperatur	TXT	Maksimumstermometerets topp (kontrollverdi)
Temperatur	TAMA	Avvik fra gjeldende temperaturnormal (1961-1990)
Snø	SA	Snødybde, totalt fra bakken, måles normalt på morgenen. Kode = -1 betyr snøbart, presenteres som ".", -3 = "umulig å måle"
Temperatur	X2TAX	Maksimumstemperatur - sensor 2
Temperatur	TWN	Månedens laveste sjøtemperatur (TW)
Temperatur	TM-20	Temperatur
Temperatur	TAM18M	Midlere temperatur målt kl.19, norsk tid
Temperatur	TAM_24	"Timeverdi: Aritmetisk middel av minuttverdier Døgnverdi: Aritmetisk middel av 24 timeverdier (kl 00-00), evt formelbasert middelverdi ut fra færre observasjoner (kl 18-18)Månedsverdi: Aritmetisk midd
Temperatur	GD17	Også kalt graddagstall eller fyringsgrader. Tallet avledes av døgnmiddeltemperaturen (antall grader < 17 ºC)
Temperatur	VSUM	Tall som avledes av døgnmiddeltemperaturen (antall grader > 0 ºC)
Snø	SDX	Månedsverdi: Største observerte snødekke
Temperatur	TWX	Månedens høyeste sjøtemperatur (TW)
Temperatur	TAXM	Månedsverdi: Aritmetisk middel av hvert døgns maksimumstemperatur
Temperatur	X3TW	Sjøtemperatur i ºC nær overflaten
Temperatur	X1TA	Lufttemperatur - sensor 1
Temperatur	X5TA	Lufttemperatur - sensor 5
Temperatur	X6TA	Lufttemperatur - sensor 6
Temperatur	X2TA	Lufttemperatur - sensor 2
Temperatur	X3TA	Lufttemperatur - sensor 3
Temperatur	X10TA	Lufttemperatur i 10m høyde
Snø	EM	Markas tilstand (snø- og isdekke)
Temperatur	X1TGM	Midlere gresstemperatur - sensor 1
Temperatur	X1TGN	Minimum gresstemperatur - sensor 1
Temperatur	X1TW	Sjøtemperatur i ºC nær overflaten
Temperatur	X1TAX	Maksimumstemperatur - sensor 1
Temperatur	X1TD	Duggpunktstemperatur (den temperaturen lufta må avkjøles før skydanning (metning) inntreffer
Temperatur	X1TG	Gresstemperatur - sensor 1
Temperatur	X1TJM10	Midlere jordtemperatur i 10 cm dybde
Temperatur	X1TJM20	Midlere jordtemperatur i 20 cm dybde
Temperatur	X1TJM50	Midlere jordtemperatur i 50 cm dybde
Temperatur	X1TAM	Middeltemperatur - sensor 1
Temperatur	X1TMN	Laveste middeltemperatur
Temperatur	X1TN	Minimumstemperatur
Temperatur	X1TGX	Maksimum gresstemperatur - sensor 1
Temperatur	X2TD	Duggpunktstemperatur (den temperaturen lufta må avkjøles før skydanning (metning) inntreffer
Snø	SAM	Månedsverdi: Aritmetisk middel av daglig snødybde
Temperatur	TD	Duggpunktstemperatur (den temperaturen lufta må avkjøles til før skydannelse (metning) inntreffer)
Temperatur	TGNX	Månedens høyeste gressminimumstemperatur
Temperatur	TAM	"Timeverdi: Aritmetisk middel av minuttverdier Døgnverdi: Aritmetisk middel av 24 timeverdier (kl 00-00), evt formelbasert middelverdi ut fra færre observasjoner (kl 18-18)Månedsverdi: Aritmetisk middel av døgn-TAM "
Temperatur	TM-10	Temperatur
Temperatur	TM2	Middeltemperatur over 2 timer
Temperatur	TAN	Laveste registrerte temperatur i timen/døgnet (kl 18-18)/måneden
Temperatur	TAX	Høyeste registrerte temperatur i timen/døgnet (kl 18-18)/måneden
Temperatur	TGNM	Aritmetisk middel av gressminimumstemperaturen for hvert døgn
Temperatur	X4TA	Lufttemperatur - sensor 4
Temperatur	TWB	Sjøtemperatur i °C, nær bunnen, målt kl 13
Temperatur	X2TG	Gresstemperatur - sensor 2
Temperatur	X3TG	Gresstemperatur - sensor 3
Temperatur	TSA	Snøtemperatur i °C, nåverdi
Snø	RWA	Smeltevannsum
Snø	RW	Mengde snø som har smeltet (målt som vann)
Temperatur	X2TJM10	Midlere jordtemperatur i 10 cm dybde
Temperatur	X2TJM20	Midlere jordtemperatur i 20 cm dybde
Temperatur	X2TJM50	Midlere jordtemperatur i 50 cm dybde
Temperatur	X2TAM	Middeltemperatur - sensor 2
Temperatur	X2TMN	Laveste middeltemperatur
Temperatur	X2TN	Minimumstemperatur
